Inflacion;Fecha;REND S&P MERV DEFLACT;REND S&P GENERAL BYMA DEFLACT;Rend Schroder Infraestructura Deflactado;Rend Alpha Renta Cobertura Deflactado;Rend Superfondo Renta Fija Deflactado;Rend Superfondo RV Deflactado;Rend Galileo Acciones Deflactado;Rend Pionero Acciones Deflactado;Rend Optimum Global Inv Deflactado;Rend Fima Acciones Deflactado;Rend Consultatio Acciones Deflactado;Rend Deflactado Dólar Mep;Rendimiento Deflact UVA;Rendimiento Deflact PF
5,89%;30/9/2019;0,12;0,11;-0,02;-0,11;-0,33;0,13;0,09;0,12;-0,01;0,13;0,11;-0,07;-0,03;-0,01
3,95%;30/8/2019;-0,45;-0,45;-0,08;-0,05;-0,19;-0,40;-0,38;-0,46;0,32;-0,45;-0,47;0,37;-0,02;0,00
2,20%;31/7/2019;-0,02;-0,01;0,03;0,02;0,03;-0,01;0,00;-0,01;0,01;-0,02;-0,01;0,02;0,01;0,02
2,72%;28/6/2019;0,20;0,19;0,00;-0,07;-0,04;0,19;0,14;0,19;-0,05;0,20;0,17;-0,08;0,00;0,01
3,06%;31/5/2019;0,12;0,11;0,02;-0,02;-0,01;0,12;0,09;0,10;-0,03;0,12;0,11;-0,02;0,01;0,01
3,44%;30/4/2019;-0,15;-0,15;-0,08;-0,03;-0,05;-0,16;-0,15;-0,15;-0,01;-0,15;-0,16;-0,02;0,01;0,00
4,68%;29/3/2019;-0,08;-0,05;-0,01;0,05;0,03;-0,11;-0,07;-0,09;0,06;-0,09;-0,09;0,06;-0,01;-0,02
3,77%;28/2/2019;-0,09;-0,08;0,00;0,01;-0,01;-0,11;-0,10;-0,08;0,03;-0,10;-0,10;0,01;-0,01;0,00
2,91%;31/1/2019;0,17;0,14;0,05;-0,04;0,03;0,18;0,14;0,16;-0,01;0,15;0,15;-0,04;0,00;0,01
2,57%;28/12/2018;-0,06;-0,08;-0,03;-0,02;-0,06;-0,05;-0,07;-0,06;-0,04;-0,06;-0,07;-0,01;0,02;0,01
3,15%;29/11/2018;0,04;0,01;0,00;0,01;0,01;0,05;0,04;0,05;0,02;0,04;0,06;0,02;0,03;0,01
5,39%;31/10/2018;-0,17;-0,17;-0,14;-0,18;-0,19;-0,20;-0,20;-0,16;-0,20;-0,20;-0,19;-0,12;0,00;-0,02
6,53%;28/9/2018;0,08;0,10;0,13;0,05;0,09;0,10;0,09;0,08;0,03;0,08;0,21;-0,06;-0,03;-0,04
3,89%;31/8/2018;-0,04;-0,01;0,06;0,32;0,17;-0,10;0,00;-0,05;0,34;-0,07;-0,14;0,30;0,00;-0,01
3,10%;31/7/2018;0,09;0,06;-0,07;-0,09;-0,07;0,11;0,09;0,08;-0,07;0,10;0,09;0,06;0,00;-0,01
3,74%;29/6/2018;-0,13;-0,11;0,04;0,11;0,08;-0,19;-0,12;-0,14;0,12;-0,16;-0,15;-0,02;-0,01;-0,02
2,08%;31/5/2018;-0,07;-0,08;0,05;0,17;0,13;-0,03;-0,07;-0,06;0,19;-0,09;-0,05;0,20;0,01;0,00
2,74%;27/4/2018;-0,06;-0,04;-0,01;0,00;-0,01;-0,08;-0,05;-0,04;-0,01;-0,07;-0,06;-0,01;0,00;-0,01
2,34%;28/3/2018;-0,08;-0,08;-0,02;-0,02;-0,02;-0,07;-0,06;-0,07;-0,03;-0,07;-0,06;-0,02;0,00;-0,01
2,42%;28/2/2018;-0,08;-0,07;-0,01;0,00;-0,01;-0,07;-0,08;-0,07;-0,02;-0,08;-0,07;0,02;0,00;-0,01
-;;;;;;;;;;;;;;;
